Facility_Name,KW_Rating,KWH_Generated,Date,Generated,Address_Location
Veterans Memorial Community Center,116.2,218498,07/01/2014 12:00:00 AM,22603,"101 S Pavilion Center,  Vegas, NV 89144"
Fire Station 6,31.1,50089,07/01/2014 12:00:00 AM,4997,"1680 S Torrey Pines,  Vegas, NV 89146"
Fire Station 45,41,72089,07/01/2014 12:00:00 AM,7671,"3821 N Fort Apache,  Vegas, NV 89117"
Fire Station 7,24.6,42533,07/01/2014 12:00:00 AM,4222,"10101 Banburry Cross Dr,  Vegas, NV 89144 (36.182041, -115.314991)"
East Yard - Main Gate 1,100,188615,07/01/2014 12:00:00 AM,19997,"3104 E Bonanza Rd,  Vegas, NV 89101 (36.173711, -115.105668)"
All American Park,114,96964,07/01/2014 12:00:00 AM,20338,"1551 S Buffalo Dr,  Vegas, NV 89117 (36.152456, -115.261782)"
Ed Fountain Park,144.5,151050,07/01/2014 12:00:00 AM,28500,"1400 N Decatur Blvd,  Vegas, NV 89108 (36.186106, -115.206036)"
West Yard - Vehicle Services,76.6,141216,07/01/2014 12:00:00 AM,14800,"2950 RONEMUS DR,  Vegas, NV 89128 (36.213701, -115.257431)"
Durango Hills Community Center S,33.6,45246,07/01/2014 12:00:00 AM,6567,"3521 N Durango Dr,  Vegas, NV 89129 (36.224833, -115.279008)"
Fire Station 41,36.1,65404,07/01/2014 12:00:00 AM,7318,"6989 N BUFFALO DR,  Vegas, NV 89131 (36.286959, -115.260381)"
Fire Station 10,44.5,79443,07/01/2014 12:00:00 AM,7684,"1501 S Martin L King,  Vegas, NV 89102 (36.154456, -115.163096)"
WPCF Plant,3334,6759539,07/01/2014 12:00:00 AM,670466,"6005 W Vegas Valley Dr,  Vegas, NV 89142 (36.137193, -115.041536)"
Mirabelli Community Center,102.9,179996,07/01/2014 12:00:00 AM,19198,"6200 Hargrove Ave,  Vegas, NV 89107 (36.172765, -115.22679)"
Stupak Community Center,25.3,46082,07/01/2014 12:00:00 AM,5158,"251 W Boston Ave,  Vegas, NV 89102 (36.147434, -115.159901)"
West Yard - EOC,55,116423,07/01/2014 12:00:00 AM,10640,"7551 Sauer Dr,  Vegas, NV 89128 (36.215571, -115.25975)"
East Yard - Fire Equipment Center,45.6,70677,07/01/2014 12:00:00 AM,7894,"3140 E Bonanza Rd,  Vegas, NV 89101 (36.173702, -115.104989)"
Fire Station 43,35.5,66140,07/01/2014 12:00:00 AM,7782,"6420 Smoke Ranch Rd,  Vegas, NV 89108 (36.203249, -115.233894)"
East Yard - Sign Shop,15.3,28382,07/01/2014 12:00:00 AM,2981,"3104 E Bonanza Rd,  Vegas, NV 89101 (36.173711, -115.105668)"
Fire Station 8,52.8,91443,07/01/2014 12:00:00 AM,9479,"805 N Mojave Rd,  Vegas, NV 89101 (36.178853, -115.106735)"
East Las Vegas Community Center,123,192422,07/01/2014 12:00:00 AM,20356,"250 N Eastern Ave,  Vegas, NV 89101 (36.165859, -115.115714)"
Rainbow Park,28.8,49425,07/01/2014 12:00:00 AM,5145,"7151 W Oakey Blvd,  Vegas, NV 89117 (36.151551, -115.248168)"
West Yard - Operations-Maintenance,79.3,146880,07/01/2014 12:00:00 AM,16960,"2875 RONEMUS DR,  Vegas, NV 89128 (36.211583, -115.256869)"
Fire Station 44,30,57914,07/01/2014 12:00:00 AM,6349,"7701 W Washington Ave,  Vegas, NV 89128 (36.181354, -115.262767)"
Fire Station 48,30,57507,07/01/2014 12:00:00 AM,6188,"9133 Elkhorn Rd,  Vegas, NV 89149 (36.291814, -115.295198)"
Centennial Hills Park,30.1,38876,07/01/2014 12:00:00 AM,5432,"7691 Elkhorn Drive,  Vegas, NV 89131 (36.290598, -115.259223)"
Fire Station 5,30.1,61016,07/01/2014 12:00:00 AM,5965,"1020 Hinson St,  Vegas, NV 89107 (36.160719, -115.195001)"
Centennial Hills Community Center N & S,169.6,193116,07/01/2014 12:00:00 AM,31966,"6601 N Buffalo Dr,  Vegas, NV 89131 (36.281325, -115.26211)"
Natural History Museum,46.8,82591,07/01/2014 12:00:00 AM,8982,"900 N Las Vegas Blvd,  Vegas, NV 89101 (36.179198, -115.134762)"
Lorenzi Park,66.3,45443,07/01/2014 12:00:00 AM,10897,"3333 W Washington Ave,  Vegas, NV 89107 (36.181169, -115.18456)"
