Facility_Name,KW_Rating,KWH_Generated,Date,Generated,Address_Location
Veterans Memorial Community Center,116.2,218498,10/01/2014 12:00:00 AM,14427,"101 S Pavilion Center, Las Vegas, NV 89144"
Fire Station 6,31.1,50089,10/01/2014 12:00:00 AM,3316,"1680 S Torrey Pines, Las Vegas, NV 89146"
Fire Station 45,41,72089,10/01/2014 12:00:00 AM,4354,"3821 N Fort Apache, Las Vegas, NV 89117"
East Las Vegas Community Center,123,192422,10/01/2014 12:00:00 AM,14134,"250 N Eastern Ave, Las Vegas, NV 89101, (36.165859, -115.115714)"
Stupak Community Center,25.3,46082,10/01/2014 12:00:00 AM,3296,"251 W Boston Ave, Las Vegas, NV 89102, (36.147434, -115.159901)"
Fire Station 43,35.5,66140,10/01/2014 12:00:00 AM,5110,"6420 Smoke Ranch Rd, Las Vegas, NV 89108, (36.203249, -115.233894)"
Rainbow Park,28.8,49425,10/01/2014 12:00:00 AM,3106,"7151 W Oakey Blvd, Las Vegas, NV 89117, (36.151551, -115.248168)"
Fire Station 44,30,57914,10/01/2014 12:00:00 AM,3786,"7701 W Washington Ave, Las Vegas, NV 89128, (36.181354, -115.262767)"
Centennial Hills Park,30.1,38876,10/01/2014 12:00:00 AM,2709,"7691 Elkhorn Drive, Las Vegas, NV 89131, (36.290598, -115.259223)"
East Yard - Main Gate 1,100,188615,10/01/2014 12:00:00 AM,15205,"3104 E Bonanza Rd, Las Vegas, NV 89101, (36.173711, -115.105668)"
Fire Station 5,30.1,61016,10/01/2014 12:00:00 AM,3887,"1020 Hinson St, Las Vegas, NV 89107, (36.160719, -115.195001)"
All American Park,114,96964,10/01/2014 12:00:00 AM,8790,"1551 S Buffalo Dr, Las Vegas, NV 89117, (36.152456, -115.261782)"
Fire Station 41,36.1,65404,10/01/2014 12:00:00 AM,5016,"6989 N BUFFALO DR, Las Vegas, NV 89131, (36.286959, -115.260381)"
Fire Station 10,44.5,79443,10/01/2014 12:00:00 AM,5119,"1501 S Martin L King, Las Vegas, NV 89102, (36.154456, -115.163096)"
East Yard - Fire Equipment Center,45.6,70677,10/01/2014 12:00:00 AM,8502,"3140 E Bonanza Rd, Las Vegas, NV 89101, (36.173702, -115.104989)"
East Yard - Sign Shop,15.3,28382,10/01/2014 12:00:00 AM,2291,"3104 E Bonanza Rd, Las Vegas, NV 89101, (36.173711, -115.105668)"
Lorenzi Park,66.3,45443,10/01/2014 12:00:00 AM,6255,"3333 W Washington Ave, Las Vegas, NV 89107, (36.181169, -115.18456)"
Fire Station 7,24.6,42533,10/01/2014 12:00:00 AM,2677,"10101 Banburry Cross Dr, Las Vegas, NV 89144, (36.182041, -115.314991)"
WPCF Plant,3334,6759539,10/01/2014 12:00:00 AM,423798,"6005 W Vegas Valley Dr, Las Vegas, NV 89142, (36.137193, -115.041536)"
Mirabelli Community Center,102.9,179996,10/01/2014 12:00:00 AM,10951,"6200 Hargrove Ave, Las Vegas, NV 89107, (36.172765, -115.22679)"
Fire Station 8,52.8,91443,10/01/2014 12:00:00 AM,7097,"805 N Mojave Rd, Las Vegas, NV 89101, (36.178853, -115.106735)"
West Yard - Vehicle Services,76.6,141216,10/01/2014 12:00:00 AM,11115,"2950 RONEMUS DR, Las Vegas, NV 89128, (36.213701, -115.257431)"
Natural History Museum,46.8,82591,10/01/2014 12:00:00 AM,5852,"900 N Las Vegas Blvd, Las Vegas, NV 89101, (36.179198, -115.134762)"
Ed Fountain Park,144.5,151050,10/01/2014 12:00:00 AM,16050,"1400 N Decatur Blvd, Las Vegas, NV 89108, (36.186106, -115.206036)"
West Yard - EOC,55,116423,10/01/2014 12:00:00 AM,11991,"7551 Sauer Dr, Las Vegas, NV 89128, (36.215571, -115.25975)"
West Yard - Operations-Maintenance,79.3,146880,10/01/2014 12:00:00 AM,11420,"2875 RONEMUS DR, Las Vegas, NV 89128, (36.211583, -115.256869)"
Fire Station 48,30,57507,10/01/2014 12:00:00 AM,3539,"9133 Elkhorn Rd, Las Vegas, NV 89149, (36.291814, -115.295198)"
Centennial Hills Community Center N & S,169.6,193116,10/01/2014 12:00:00 AM,19164,"6601 N Buffalo Dr, Las Vegas, NV 89131, (36.281325, -115.26211)"
Durango Hills Community Center S,33.6,45246,10/01/2014 12:00:00 AM,2832,"3521 N Durango Dr, Las Vegas, NV 89129, (36.224833, -115.279008)"
