Facility_Name,KW_Rating,KWH_Generated,Date,Generated,Address_Location
Veterans Memorial Community Center,116.2,218498,09/01/2014 12:00:00 AM,17678,"101 S Pavilion Center, Las Vegas, NV 89144"
Fire Station 6,31.1,50089,09/01/2014 12:00:00 AM,3722,"1680 S Torrey Pines, Las Vegas, NV 89146"
Fire Station 45,41,72089,09/01/2014 12:00:00 AM,5331,"3821 N Fort Apache, Las Vegas, NV 89117"
Rainbow Park,28.8,49425,09/01/2014 12:00:00 AM,4127,"7151 W Oakey Blvd, Las Vegas, NV 89117, (36.151551, -115.248168)"
West Yard - Operations-Maintenance,79.3,146880,09/01/2014 12:00:00 AM,13640,"2875 RONEMUS DR, Las Vegas, NV 89128, (36.211583, -115.256869)"
Lorenzi Park,66.3,45443,09/01/2014 12:00:00 AM,8364,"3333 W Washington Ave, Las Vegas, NV 89107, (36.181169, -115.18456)"
Centennial Hills Park,30.1,38876,09/01/2014 12:00:00 AM,3444,"7691 Elkhorn Drive, Las Vegas, NV 89131, (36.290598, -115.259223)"
Fire Station 5,30.1,61016,09/01/2014 12:00:00 AM,4808,"1020 Hinson St, Las Vegas, NV 89107, (36.160719, -115.195001)"
Centennial Hills Community Center N & S,169.6,193116,09/01/2014 12:00:00 AM,23742,"6601 N Buffalo Dr, Las Vegas, NV 89131, (36.281325, -115.26211)"
Natural History Museum,46.8,82591,09/01/2014 12:00:00 AM,7770,"900 N Las Vegas Blvd, Las Vegas, NV 89101, (36.179198, -115.134762)"
East Yard - Fire Equipment Center,45.6,70677,09/01/2014 12:00:00 AM,8844,"3140 E Bonanza Rd, Las Vegas, NV 89101, (36.173702, -115.104989)"
Fire Station 48,30,57507,09/01/2014 12:00:00 AM,3539,"9133 Elkhorn Rd, Las Vegas, NV 89149, (36.291814, -115.295198)"
East Yard - Sign Shop,15.3,28382,09/01/2014 12:00:00 AM,2534,"3104 E Bonanza Rd, Las Vegas, NV 89101, (36.173711, -115.105668)"
Durango Hills Community Center S,33.6,45246,09/01/2014 12:00:00 AM,3717,"3521 N Durango Dr, Las Vegas, NV 89129, (36.224833, -115.279008)"
Stupak Community Center,25.3,46082,09/01/2014 12:00:00 AM,4596,"251 W Boston Ave, Las Vegas, NV 89102, (36.147434, -115.159901)"
Fire Station 44,30,57914,09/01/2014 12:00:00 AM,4321,"7701 W Washington Ave, Las Vegas, NV 89128, (36.181354, -115.262767)"
East Yard - Main Gate 1,100,188615,09/01/2014 12:00:00 AM,16851,"3104 E Bonanza Rd, Las Vegas, NV 89101, (36.173711, -115.105668)"
West Yard - Vehicle Services,76.6,141216,09/01/2014 12:00:00 AM,13601,"2950 RONEMUS DR, Las Vegas, NV 89128, (36.213701, -115.257431)"
Mirabelli Community Center,102.9,179996,09/01/2014 12:00:00 AM,15887,"6200 Hargrove Ave, Las Vegas, NV 89107, (36.172765, -115.22679)"
Fire Station 10,44.5,79443,09/01/2014 12:00:00 AM,6408,"1501 S Martin L King, Las Vegas, NV 89102, (36.154456, -115.163096)"
Fire Station 8,52.8,91443,09/01/2014 12:00:00 AM,8449,"805 N Mojave Rd, Las Vegas, NV 89101, (36.178853, -115.106735)"
All American Park,114,96964,09/01/2014 12:00:00 AM,15236,"1551 S Buffalo Dr, Las Vegas, NV 89117, (36.152456, -115.261782)"
Fire Station 43,35.5,66140,09/01/2014 12:00:00 AM,6249,"6420 Smoke Ranch Rd, Las Vegas, NV 89108, (36.203249, -115.233894)"
WPCF Plant,3334,6759539,09/01/2014 12:00:00 AM,636976,"6005 W Vegas Valley Dr, Las Vegas, NV 89142, (36.137193, -115.041536)"
Fire Station 7,24.6,42533,09/01/2014 12:00:00 AM,3247,"10101 Banburry Cross Dr, Las Vegas, NV 89144, (36.182041, -115.314991)"
Ed Fountain Park,144.5,151050,09/01/2014 12:00:00 AM,20150,"1400 N Decatur Blvd, Las Vegas, NV 89108, (36.186106, -115.206036)"
Fire Station 41,36.1,65404,09/01/2014 12:00:00 AM,6150,"6989 N BUFFALO DR, Las Vegas, NV 89131, (36.286959, -115.260381)"
West Yard - EOC,55,116423,09/01/2014 12:00:00 AM,9760,"7551 Sauer Dr, Las Vegas, NV 89128, (36.215571, -115.25975)"
East Las Vegas Community Center,123,192422,09/01/2014 12:00:00 AM,18362,"250 N Eastern Ave, Las Vegas, NV 89101, (36.165859, -115.115714)"
